X,Y,id,name,population
-73.5413,45.3749,places.122,Delson,8328
-70.1539,47.6575,places.123,La Malbaie,8235
-71.1358,46.8968,places.124,Boischatel,8231
-71.2968,46.9444,places.125,Lac-Beauport,8164
-75.808,45.5032,places.126,Chelsea,8000
-71.5138,46.612,places.127,Saint-Apollinaire,7968
-74.302,45.4794,places.128,Rigaud,7854
-72.565,45.6482,places.129,Acton Vale,7605
-73.4783,45.3584,places.130,Saint-Philippe,7597
-64.6776,48.3492,places.131,Chandler,7490
-74.1782,45.2964,places.132,Coteau-du-Lac,7473
-71.7301,46.6765,places.133,Donnacona,7436
-70.5054,47.4443,places.134,Baie-Saint-Paul,7371
-79.201,48.8001,places.135,La Sarre,7358
-72.9475,46.2556,places.136,Louiseville,7340
-72.5658,45.3685,places.137,Canton de Shefford,7253
-74.4046,45.6765,places.138,Brownsburg,7247
-74.3831,49.9116,places.139,Chibougamau,7233
-74.0582,45.3086,places.140,Les Cèdres,7184
-71.9323,45.7766,places.141,Val-des-Sources,7088
-73.6472,45.4817,places.142,Hampstead,7037
-74.006,45.5333,places.143,Saint-Joseph-du-Lac,7031
-73.4246,46.17,places.144,Saint-Félix-de-Valois,6975
-71.2134,46.5867,places.145,Saint-Lambert-de-Lauzon,6817
-73.8494,45.9516,places.146,Saint-Calixte,6792
-73.4463,45.9843,places.147,Saint-Paul,6566
-66.8757,50.0187,places.148,Port-Cartier,6516
-71.5164,46.8872,places.149,Shannon,6432
-71.772,46.2195,places.150,Plessisville,6414
-68.1839,48.5839,places.151,Mont-Joli,6384
-71.0857,48.5333,places.152,Saint-Honoré,6376
-73.9668,45.5007,places.153,Pointe-Calumet,6281
-71.8752,46.1723,places.154,Princeville,6218
-70.7743,46.2107,places.155,Beauceville,6185
-76.2302,45.5205,places.156,Quyon,6142
-66.485,49.1263,places.157,Sainte-Anne-des-Monts,6121
-72.6573,46.4917,places.158,Notre-Dame-du-Mont-Carmel,6121
-67.4315,48.4657,places.159,Amqui,5999
-73.0041,45.4101,places.160,Saint-Césaire,5972
-73.2303,45.5492,places.161,McMasterville,5936
-72.5372,45.2177,places.162,Lac-Brome,5923
-72.9053,45.5049,places.163,Saint-Pie,5847
-71.0671,46.6921,places.164,Saint-Henri,5813
-73.3554,45.7728,places.165,Verchères,5759
-70.882,45.5773,places.166,Lac-Mégantic,5747
-73.2488,45.4439,places.167,Richelieu,5742
-73.8044,45.2461,places.168,Sainte-Martine,5664
-74.2055,45.2596,places.169,Les Coteaux,5643
-74.2066,46.0283,places.170,Val-David,5558
-73.5933,45.8561,places.171,Saint-Roch-de-l'Achigan,5453
-74.1508,45.4645,places.172,Hudson,5411
-71.6291,45.4125,places.173,Cookshire,5344
-73.8886,46.0728,places.174,Chertsey,5295
-72.0035,45.5698,places.175,Windsor,5294
-72.8287,46.5052,places.176,Saint-Boniface,5156
-73.2196,45.9593,places.177,Lanoraie,5134
-73.6442,45.4529,places.178,Montréal-Ouest,5115
-68.8853,47.6837,places.179,Cabano,5054
-73.9524,45.4039,places.180,Sainte-Anne-de-Bellevue,5027
-70.878,46.3102,places.181,Saint-Joseph-de-Beauce,5014
-72.1658,45.3127,places.182,Orford,5007
-72.5702,45.8408,places.183,Saint-Germain-de-Grantham,4922
-72.5162,45.3442,places.184,Waterloo,4920
-72.4246,45.933,places.185,Saint-Cyrille-de-Wendover,4920
-73.5349,46.2302,places.186,Saint-Jean-de-Matha,4838
-71.9907,45.9457,places.187,Warwick,4729
-74.2497,45.9024,places.188,Morin Heights,4678
-74.8705,46.4097,places.189,Rivière-Rouge,4631
-72.0806,45.458,places.190,Saint-Denis-de-Brompton,4594
-74.2219,46.3187,places.191,Saint-Donat,4561
-72.6186,45.1115,places.192,Sutton,4548
-73.2647,45.4729,places.193,Saint-Mathias-sur-Richelieu,4544
-72.7762,46.4424,places.194,Saint-Étienne-des-Grès,4539
-71.4352,46.5629,places.195,Saint-Agapit,4526
-71.5849,46.6982,places.196,Neuville,4475
-71.0177,46.9711,places.197,Château-Richer,4425
-73.4977,45.631,places.198,Montréal-Est,4394
-73.1747,46.0828,places.199,Berthierville,4386
-69.4796,47.7609,places.200,Saint-Antonin,4338
-73.5696,45.9479,places.201,Saint-Jacques,4302
-72.6601,45.4751,places.202,Roxton Pond,4224
-73.4738,45.9638,places.203,Crabtree,4155
-71.7837,48.4083,places.204,Lac-à-la-Croix,4121
-70.892,47.0439,places.205,Beaupré,4117
-73.5524,46.0783,places.206,Saint-Ambroise-de-Kildare,4090
-66.1141,48.1015,places.207,Carleton-sur-Mer,4081
-70.0351,47.3695,places.208,La Pocatière,4078
-70.9705,46.6296,places.209,Saint-Anselme,4047
-70.5082,46.3988,places.210,Lac-Etchemin,4028
-73.4042,45.1861,places.211,Napierville,4020
-74.0906,45.4613,places.212,Oka,3968
-73.9923,45.1255,places.213,Ormstown,3917
-72.0156,45.7856,places.214,Danville,3888
-71.3246,48.5575,places.215,Saint-Ambroise,3883
-74.1244,45.8616,places.216,Sainte-Anne-des-Lacs,3862
-71.0915,46.9167,places.217,L'Ange-Gardien,3842
-71.6595,45.4829,places.218,East Angus,3840
-74.3393,45.9713,places.219,Saint-Adolphe-d'Howard,3824
-70.8584,47.1178,places.220,Saint-Ferréol-les-Neiges,3806
-70.3503,47.1033,places.221,L'Islet,3803
-74.4805,46.1137,places.222,Mont-Blanc,3780
-73.9154,45.4174,places.223,Baie-d'Urfé,3764
-75.9808,46.3779,places.224,Maniwaki,3757
-73.8664,50.4179,places.225,ᒥᔅᑎᓯᓃ Mistissini,3731
-65.8656,48.1651,places.226,New Richmond,3683
-72.5647,46.7285,places.227,Saint-Tite,3672
-72.8009,45.1305,places.228,Dunham,3599
-70.4811,46.2117,places.229,Saint-Prosper,3596
-71.7751,46.6702,places.230,Cap-Santé,3594
-75.0572,45.7214,places.231,Saint-André-Avellin,3562
-69.8074,47.5266,places.232,Saint-Pascal,3530
-70.8649,46.6006,places.233,Sainte-Claire,3526
-73.5699,45.2382,places.234,Saint-Michel,3521
-73.3509,46.0138,places.235,Saint-Thomas,3496
-74.1314,45.8992,places.236,Piedmont,3476
-72.5311,46.4688,places.237,Saint-Maurice,3432
-64.4953,48.3985,places.238,Grande-Rivière,3384
-71.7655,45.4491,places.239,Ascot Corner,3368
-74.0571,46.0313,places.240,Sainte-Marguerite-du-Lac-Masson,3367
-73.3581,45.8266,places.241,Saint-Sulpice,3360
-78.1252,48.1372,places.242,Malartic,3355
-72.8088,45.3256,places.243,Saint-Alphonse-de-Granby,3341
-73.6922,46.1851,places.244,Saint-Alphonse-Rodriguez,3339
-63.6004,50.2464,places.245,Havre-Saint-Pierre,3337
-71.8853,46.6926,places.246,Portneuf,3329
-70.2692,47.2144,places.247,Saint-Jean-Port-Joli,3329
-71.0905,46.5851,places.248,Saint-Isidore,3286
-70.5234,46.0595,places.249,Saint-Côme–Linière,3278
-71.8279,45.2432,places.250,Compton,3270
-72.1412,45.663,places.251,Richmond,3259
-73.5106,46.137,places.252,Sainte-Mélanie,3250
-71.4685,46.9357,places.253,Saint-Gabriel-de-Valcartier,3223
-73.1239,45.5206,places.254,Saint-Jean-Baptiste,3179
